EAN-13;Descricao;Cod.Prod;Validade;Porcao;Kcal;Carboidratos;Proteinas;GordurasTotais;GordurasSaturadas;GordurasTrans;Colesterol;Fibra;Calcio;Ferro;Sodio
7204;ABACATE FEIRINHA kg;7204-4;10;100;96;6;1,2;8,4;2,3;0;0;6,3;0;0;0
10741;ABACAXI COSTA RICA FRESH&GOURM;10741-7;3;100;52,9;13,6;0,8;0;0;0;0;0,9;6,7;0,1;0
8466;ABACAXI CUBOS COPO KG;8466-2;6;50;24;6;0,5;0,3;0;0;0;0,5;0;0;30
3000030614502;ABACAXI EM RODELAS FRESH&GOURM;306145-0;6;600;0;9,2;0,6;0;0;0;0;0,7;0;0;0
7483;ABACAXI EMBALADO KG;7483-7;12;100;48;12,3;0,9;0;0;0;0;1;22;0,3;0
2546;ABACAXI FATIADO KG;2546-1;7;100;48,3;12,3;0,9;0;0;0;0;1;22,4;0,3;0
3670;ABACAXI FATIAS ROTISSERIE KG;3670-6;999;100;55;12;0;0;0;0;0;1,2;0;0;0
4142;ABACAXI FESTIVAL;4142-4;4;140;68;17;1,2;0,1;0;0;0;1,4;0;0;0
3000030432748;ABACAXI FESTIVAL;304327-4;4;140;68;17;1,2;0,1;0;0;0;1,4;0;0;0
4231;ABACAXI HAVAI FATIADO 300G;4231-5;7;0;144;36,9;2,7;0,3;0;0;0;3;0;0;0
3000030464510;ABACAXI HAVAI FATIADO 300G;304645-1;7;300;144;36,9;2,7;0,3;0;0;0;3;0;0;0
3813;ABACAXI HAVAI FEIRINHA UNIDADE;3813-0;999;50;24;6;0,5;0;0;0;0;0,5;0;0;0
10393;ABACAXI PEROLA C/ CANELA CORTE;10393-4;3;50;24;6;0,5;0,3;0;0;0;0,5;0;0;30
3812;ABACAXI PEROLA FEIRINHA UNIDAD;3812-1;10;50;24;6;0,5;0;0;0;0;0,5;0;0;0
10720;ABACAXI PEROLA FRESH&GOURMET G;10720-4;3;150;81;19;1;0;0;0;0;2;0;0;0
10744;ABACAXI PEROLA FRESH&GOURMET P;10744-1;2;150;81;19;1;0;0;0;0;2;0;0;0
871;ABACAXI PEROLA UNIDADE;871-0;999;100;48,3;12,3;0,9;0;0;0;0;1;0;0,3;0
7482;ABACAXI RODELAS FRESH&GOURMET;7482-9;12;100;48;12,3;0,9;0;0;0;0;1;22;0,3;0
3000030591544;ABACAXICOUVE/GENG/HORT FLV-BIS;305915-4;5;200;93;24;1,2;0,2;0;0;0;3;0;0;3
3000030586892;ABO/CEN. ESPAG.FRESH&GOURMET 6;305868-9;6;100;98;18;2,5;2,9;0,4;0;0;0,7;0;0;191
3000030586977;ABOB. ESPAGUETE FRSH&GOURMET 4;305869-7;6;100;14;3,3;0,6;0;0;0;0;1,2;0;0;0
8309;ABOBORA C/CARNE SECA ROT KG;8309-7;5;50;33;1,5;1,2;2,5;1,6;0;0;0,7;0;0;95
6281;ABOBORA C/COCO BOMDOCE KG;6281-2;999;20;66;14;0;1,3;1,1;0;0;0,5;0;0;0
9512;ABOBORA C/ERVAS OP kg;9512-5;4;100;61;8,2;1,7;2,4;0,3;0;0;2,2;0;0;111
9092;ABOBORA C/ERVAS ROT KG;9092-1;1;100;61;8,2;1,7;2,4;0,3;0;0;2,2;0;0;111
6137;ABOBORA EM CUBOS KG;6137-9;999;100;14;3,3;0,6;0;0;0;0;1,2;9;0,2;0
11286;ABOBORA MINNAS ORIGENS kg;11286-0;10;40;39;20;9;0;0;0;0;0;0;0;0
574;ABOBORA P/ DOCE kg;574-6;7;100;14;3,3;0,6;0;0;0;0;1,2;9;0,2;0
7594;ABOBORA P/DOCE EMB KG;7594-9;7;100;24;6,1;2,3;0;0;0;0;2,3;0;0,3;0
7180;ABOBORA PAULISTA FEIRINHA kg;7180-3;10;50;19;4,2;0,8;0,3;0,1;0;0;1,1;0;0;0
1402;ABOBORA PAULISTA kg;1402-8;7;100;31;7,9;0,6;0,1;0;0;0;2,6;19;0,2;1
8306;ABOBRINHA CAPRESE ROT KG;8306-2;1;150;98;5,9;5,6;5,8;2,8;0;0;1,8;0;0;329
3000030586380;ABOBRINHA CARPACHIO FRESH&GOUR;305863-8;6;100;14;3,3;0,6;0;0;0;0;1,2;0;0;0
10462;ABOBRINHA ITALI.MILANESA OP kg;10462-0;1;100;314;48;8,6;2;0;0;0;2,2;0;0;421
7223;ABOBRINHA ITALI.MILANEZA ROT.B;7223-0;1;100;314;48;8,6;2,1;0;0;53;2,2;26;0,6;421
1011;ABOBRINHA ITALIA EMB KG;1011-1;9;50;15;4;0,3;0,1;0;0;0;1,3;0;0;0,3
3000030578958;ABOBRINHA ITALIA FRESH&GOURMET;305789-5;6;100;19,3;4,3;1,1;0;0;0;0;1,4;15,1;0,2;0
